file,steps,details,size
engine\cpp_core\src\richards.cpp,Soil; Water Resources,"{""Soil"": 1, ""Water Resources"": 3}",9616
engine\cpp_core\src\saint_venant.cpp,Water Resources,"{""Water Resources"": 1}",7913
engine\cpp_core\src\sampling.cpp,Water Resources; Plant Selection & Crop Modeling,"{""Water Resources"": 2, ""Plant Selection & Crop Modeling"": 16}",7157
engine\cpp_core\src\sediment.cpp,Erosion (RUSLE),"{""Erosion (RUSLE)"": 6}",2696
engine\cpp_core\src\soil.cpp,Soil,"{""Soil"": 3}",5156
engine\cpp_core\tests\benchmark_climate.cpp,Climate,"{""Climate"": 2}",3329
engine\cpp_core\tests\benchmark_crop_water.cpp,Climate; Water Resources; Plant Selection & Crop Modeling; Irrigation & Water Requirement,"{""Climate"": 1, ""Water Resources"": 1, ""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 2}",1800
engine\cpp_core\tests\benchmark_erosion.cpp,Erosion (RUSLE),"{""Erosion (RUSLE)"": 4}",3651
engine\cpp_core\tests\benchmark_sampling.cpp,Plant Selection & Crop Modeling,"{""Plant Selection & Crop Modeling"": 2}",1573
engine\cpp_core\tests\benchmark_sediment.cpp,Topography & DEM; Erosion (RUSLE),"{""Topography & DEM"": 1, ""Erosion (RUSLE)"": 3}",2118
engine\cpp_core\tests\benchmark_soil.cpp,Soil,"{""Soil"": 3}",1628
engine\cpp_core\tests\benchmark_soil_extended.cpp,Soil,"{""Soil"": 2}",2053
engine\cpp_core\tests\debug_main.cpp,Soil; Water Resources; Plant Selection & Crop Modeling; Irrigation & Water Requirement,"{""Soil"": 1, ""Water Resources"": 3, ""Plant Selection & Crop Modeling"": 3, ""Irrigation & Water Requirement"": 1}",5065
engine\cpp_core\tests\test_advanced.cpp,Soil; Water Resources; Erosion (RUSLE); Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design,"{""Soil"": 2, ""Water Resources"": 7, ""Erosion (RUSLE)"": 9, ""Plant Selection & Crop Modeling"": 12, ""Irrigation & Water Requirement"": 6, ""Hydraulic & Structure Design"": 6}",12341
engine\cpp_core\tests\test_climate_unit.cpp,Climate,"{""Climate"": 8}",2763
engine\cpp_core\tests\test_crop_water_unit.cpp,Water Resources; Plant Selection & Crop Modeling; Irrigation & Water Requirement; General/Simulation,"{""Water Resources"": 8, ""Plant Selection & Crop Modeling"": 5, ""Irrigation & Water Requirement"": 7, ""General/Simulation"": 2}",2783
engine\cpp_core\tests\test_erosion_unit.cpp,Topography & DEM; Soil; Erosion (RUSLE),"{""Topography & DEM"": 2, ""Soil"": 2, ""Erosion (RUSLE)"": 18}",3517
engine\cpp_core\tests\test_hydroma.cpp,Topography & DEM; Soil; Climate; Erosion (RUSLE); Plant Selection & Crop Modeling,"{""Topography & DEM"": 3, ""Soil"": 4, ""Climate"": 4, ""Erosion (RUSLE)"": 4, ""Plant Selection & Crop Modeling"": 1}",7642
engine\cpp_core\tests\test_richards_unit.cpp,Soil; General/Simulation,"{""Soil"": 1, ""General/Simulation"": 2}",1938
engine\cpp_core\tests\test_saint_venant_unit.cpp,Water Resources; General/Simulation,"{""Water Resources"": 1, ""General/Simulation"": 3}",2610
engine\cpp_core\tests\test_sampling_unit.cpp,Plant Selection & Crop Modeling; General/Simulation,"{""Plant Selection & Crop Modeling"": 7, ""General/Simulation"": 1}",2660
engine\cpp_core\tests\test_sediment_unit.cpp,Water Resources; Erosion (RUSLE),"{""Water Resources"": 1, ""Erosion (RUSLE)"": 13}",3378
engine\cpp_core\tests\test_soil_unit.cpp,Soil; Water Resources,"{""Soil"": 10, ""Water Resources"": 1}",4820
engine\cpp_core\build2\CMakeFiles\4.4.2\CompilerIdCXX\CompilerIdCXX.vcxproj,Optimization & Scenario,"{""Optimization & Scenario"": 2}",2806
engine\cpp_core\build2\Testing\Temporary\LastTest.log,Topography & DEM; Soil; Climate; Water Resources; Erosion (RUSLE); Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design,"{""Topography & DEM"": 2, ""Soil"": 1, ""Climate"": 1, ""Water Resources"": 2, ""Erosion (RUSLE)"": 5, ""Plant Selection & Crop Modeling"": 6, ""Irrigation & Water Requirement"": 4, ""Hydraulic & Structure Design"": 4}",4430
engine\cpp_core\include\hydroma\climate.hpp,Topography & DEM; Climate; Water Resources; Plant Selection & Crop Modeling; Irrigation & Water Requirement; General/Simulation,"{""Topography & DEM"": 1, ""Climate"": 14, ""Water Resources"": 1, ""Plant Selection & Crop Modeling"": 3, ""Irrigation & Water Requirement"": 6, ""General/Simulation"": 1}",3854
engine\cpp_core\include\hydroma\crop_water.hpp,Soil; Water Resources; Plant Selection & Crop Modeling; Irrigation & Water Requirement; General/Simulation,"{""Soil"": 5, ""Water Resources"": 9, ""Plant Selection & Crop Modeling"": 10, ""Irrigation & Water Requirement"": 7, ""General/Simulation"": 1}",3215
engine\cpp_core\include\hydroma\erosion.hpp,Topography & DEM; Soil; Climate; Water Resources; Erosion (RUSLE); General/Simulation,"{""Topography & DEM"": 7, ""Soil"": 12, ""Climate"": 3, ""Water Resources"": 2, ""Erosion (RUSLE)"": 14, ""General/Simulation"": 1}",3037
engine\cpp_core\include\hydroma\hydrology.hpp,Hydraulic & Structure Design,"{""Hydraulic & Structure Design"": 1}",3620
engine\cpp_core\include\hydroma\indices.hpp,Water Resources; Plant Selection & Crop Modeling; Monitoring & Calibration,"{""Water Resources"": 1, ""Plant Selection & Crop Modeling"": 1, ""Monitoring & Calibration"": 1}",1743
engine\cpp_core\include\hydroma\richards.hpp,Soil; Water Resources; General/Simulation,"{""Soil"": 4, ""Water Resources"": 2, ""General/Simulation"": 2}",2988
engine\cpp_core\include\hydroma\saint_venant.hpp,Water Resources; General/Simulation,"{""Water Resources"": 1, ""General/Simulation"": 3}",2396
engine\cpp_core\include\hydroma\sampling.hpp,Land Recognition & GIS; Climate; Water Resources; Plant Selection & Crop Modeling; Optimization & Scenario; General/Simulation,"{""Land Recognition & GIS"": 1, ""Climate"": 1, ""Water Resources"": 3, ""Plant Selection & Crop Modeling"": 8, ""Optimization & Scenario"": 3, ""General/Simulation"": 1}",3230
engine\cpp_core\include\hydroma\sediment.hpp,Topography & DEM; Soil; Water Resources; Erosion (RUSLE); Plant Selection & Crop Modeling; Hydraulic & Structure Design; General/Simulation,"{""Topography & DEM"": 2, ""Soil"": 3, ""Water Resources"": 1, ""Erosion (RUSLE)"": 14, ""Plant Selection & Crop Modeling"": 1, ""Hydraulic & Structure Design"": 3, ""General/Simulation"": 1}",3015
engine\cpp_core\include\hydroma\soil.hpp,Soil; Water Resources; Hydraulic & Structure Design; General/Simulation,"{""Soil"": 7, ""Water Resources"": 4, ""Hydraulic & Structure Design"": 5, ""General/Simulation"": 1}",2263
engine\hydroma\ai_assistant\knowledge_base.py,Topography & DEM; Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Optimization & Scenario; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Topography & DEM"": 4, ""Soil"": 10, ""Climate"": 5, ""Water Resources"": 6, ""Erosion (RUSLE)"": 7, ""Carbon & RothC"": 9, ""Plant Selection & Crop Modeling"": 4, ""Irrigation & Water Requirement"": 5, ""Hydraulic & Structure Design"": 1, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 4, ""Monitoring & Calibration"": 1, ""General/Simulation"": 2}",6912
engine\hydroma\ai_assistant\rag_service.py,Soil,"{""Soil"": 1}",2030
engine\hydroma\analyses\topography_analysis.py,Land Recognition & GIS; Topography & DEM; Climate; General/Simulation,"{""Land Recognition & GIS"": 2, ""Topography & DEM"": 45, ""Climate"": 3, ""General/Simulation"": 2}",7108
engine\hydroma\biofertilizer\advanced_calculator.py,Soil; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Optimization & Scenario; Economy & Carbon MRV,"{""Soil"": 14, ""Water Resources"": 19, ""Carbon & RothC"": 11, ""Plant Selection & Crop Modeling"": 7, ""Irrigation & Water Requirement"": 4, ""Hydraulic & Structure Design"": 5, ""Optimization & Scenario"": 6, ""Economy & Carbon MRV"": 53}",53382
engine\hydroma\biofertilizer\calculator.py,Soil; Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Optimization & Scenario; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Soil"": 66, ""Climate"": 1, ""Water Resources"": 5, ""Carbon & RothC"": 10, ""Plant Selection & Crop Modeling"": 6, ""Irrigation & Water Requirement"": 2, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 2, ""Monitoring & Calibration"": 5, ""General/Simulation"": 1}",26099
engine\hydroma\biofertilizer\calibration.py,Soil; Climate; Optimization & Scenario; Monitoring & Calibration; General/Simulation,"{""Soil"": 1, ""Climate"": 2, ""Optimization & Scenario"": 1, ""Monitoring & Calibration"": 11, ""General/Simulation"": 10}",6557
engine\hydroma\biofertilizer\models.py,Soil; Water Resources; Plant Selection & Crop Modeling; Economy & Carbon MRV; Monitoring & Calibration,"{""Soil"": 4, ""Water Resources"": 1, ""Plant Selection & Crop Modeling"": 1, ""Economy & Carbon MRV"": 3, ""Monitoring & Calibration"": 1}",16210
engine\hydroma\biofertilizer\repositories.py,Soil; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Monitoring & Calibration,"{""Soil"": 32, ""Water Resources"": 1, ""Carbon & RothC"": 2, ""Plant Selection & Crop Modeling"": 2, ""Monitoring & Calibration"": 4}",29343
engine\hydroma\biofertilizer\services.py,Soil; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Soil"": 16, ""Water Resources"": 8, ""Carbon & RothC"": 8, ""Plant Selection & Crop Modeling"": 4, ""Irrigation & Water Requirement"": 3, ""Hydraulic & Structure Design"": 1, ""Economy & Carbon MRV"": 2, ""Monitoring & Calibration"": 5, ""General/Simulation"": 2}",19911
engine\hydroma\biofertilizer\trials.py,Land Recognition & GIS; Soil; Climate; Plant Selection & Crop Modeling,"{""Land Recognition & GIS"": 1, ""Soil"": 2, ""Climate"": 1, ""Plant Selection & Crop Modeling"": 3}",5949
engine\hydroma\biofertilizer\__init__.py,Optimization & Scenario,"{""Optimization & Scenario"": 1}",2858
engine\hydroma\calculations\crop_water_req_calc.py,Climate; Water Resources; Plant Selection & Crop Modeling; Irrigation & Water Requirement,"{""Climate"": 20, ""Water Resources"": 6, ""Plant Selection & Crop Modeling"": 7, ""Irrigation & Water Requirement"": 8}",3705
engine\hydroma\calibration\calibrator.py,Soil; Climate; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Optimization & Scenario; Monitoring & Calibration; General/Simulation,"{""Soil"": 3, ""Climate"": 1, ""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1, ""Optimization & Scenario"": 1, ""Monitoring & Calibration"": 10, ""General/Simulation"": 9}",7541
engine\hydroma\calibration\model_calibrator.py,Irrigation & Water Requirement; Hydraulic & Structure Design; Optimization & Scenario; Monitoring & Calibration; General/Simulation,"{""Irrigation & Water Requirement"": 1, ""Hydraulic & Structure Design"": 1, ""Optimization & Scenario"": 1, ""Monitoring & Calibration"": 9, ""General/Simulation"": 5}",5698
engine\hydroma\calibration\validator.py,Soil; Monitoring & Calibration; General/Simulation,"{""Soil"": 1, ""Monitoring & Calibration"": 8, ""General/Simulation"": 10}",5307
engine\hydroma\calibration\version_manager.py,Monitoring & Calibration; General/Simulation,"{""Monitoring & Calibration"": 3, ""General/Simulation"": 14}",6412
engine\hydroma\carbon\calculator.py,Soil; Climate; Carbon & RothC; Economy & Carbon MRV,"{""Soil"": 1, ""Climate"": 1, ""Carbon & RothC"": 22, ""Economy & Carbon MRV"": 2}",7529
engine\hydroma\carbon\__init__.py,Carbon & RothC; Economy & Carbon MRV,"{""Carbon & RothC"": 1, ""Economy & Carbon MRV"": 1}",52
engine\hydroma\climate\et_calculator.py,Topography & DEM; Climate; Irrigation & Water Requirement,"{""Topography & DEM"": 5, ""Climate"": 9, ""Irrigation & Water Requirement"": 2}",7160
engine\hydroma\climate\__init__.py,Climate,"{""Climate"": 1}",55
engine\hydroma\config\settings.py,General/Simulation,"{""General/Simulation"": 7}",11567
engine\hydroma\core\models.py,Soil; Carbon & RothC; Plant Selection & Crop Modeling,"{""Soil"": 1, ""Carbon & RothC"": 1, ""Plant Selection & Crop Modeling"": 4}",2340
engine\hydroma\core\models.py.bak_soilprof,Soil; Carbon & RothC; Plant Selection & Crop Modeling,"{""Soil"": 1, ""Carbon & RothC"": 1, ""Plant Selection & Crop Modeling"": 4}",1896
engine\hydroma\cpp_bridge\hydrology_fallback.py,Topography & DEM; Water Resources; Hydraulic & Structure Design,"{""Topography & DEM"": 2, ""Water Resources"": 3, ""Hydraulic & Structure Design"": 2}",7010
engine\hydroma\cpp_bridge\hydrology_fast.py,Topography & DEM; Water Resources; Hydraulic & Structure Design,"{""Topography & DEM"": 2, ""Water Resources"": 3, ""Hydraulic & Structure Design"": 2}",7010
engine\hydroma\cpp_bridge\indices_fallback.py,Plant Selection & Crop Modeling,"{""Plant Selection & Crop Modeling"": 1}",5417
engine\hydroma\cpp_bridge\indices_fast.py,Plant Selection & Crop Modeling,"{""Plant Selection & Crop Modeling"": 1}",5417
engine\hydroma\cpp_bridge\soil_physics_fallback.py,Soil; Water Resources; Irrigation & Water Requirement; Hydraulic & Structure Design; General/Simulation,"{""Soil"": 9, ""Water Resources"": 4, ""Irrigation & Water Requirement"": 1, ""Hydraulic & Structure Design"": 5, ""General/Simulation"": 1}",4839
engine\hydroma\cpp_bridge\soil_physics_fast.py,Soil; Water Resources; Irrigation & Water Requirement; Hydraulic & Structure Design; General/Simulation,"{""Soil"": 9, ""Water Resources"": 4, ""Irrigation & Water Requirement"": 1, ""Hydraulic & Structure Design"": 5, ""General/Simulation"": 1}",4839
engine\hydroma\crop\models.py,Plant Selection & Crop Modeling; General/Simulation,"{""Plant Selection & Crop Modeling"": 7, ""General/Simulation"": 4}",809
engine\hydroma\crop\__init__.py,Plant Selection & Crop Modeling,"{""Plant Selection & Crop Modeling"": 1}",52
engine\hydroma\data\kc_lookup.py,Plant Selection & Crop Modeling,"{""Plant Selection & Crop Modeling"": 2}",595
engine\hydroma\data_ingestion\models.py,General/Simulation,"{""General/Simulation"": 4}",886
engine\hydroma\decision_support\dss.py,Plant Selection & Crop Modeling; Optimization & Scenario,"{""Plant Selection & Crop Modeling"": 2, ""Optimization & Scenario"": 13}",9067
engine\hydroma\economics\analysis.py,Economy & Carbon MRV,"{""Economy & Carbon MRV"": 1}",883
engine\hydroma\economics\costing.py,Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Economy & Carbon MRV; General/Simulation,"{""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 2, ""Hydraulic & Structure Design"": 3, ""Economy & Carbon MRV"": 15, ""General/Simulation"": 1}",7999
engine\hydroma\economics\employment.py,Water Resources; Economy & Carbon MRV; General/Simulation,"{""Water Resources"": 1, ""Economy & Carbon MRV"": 2, ""General/Simulation"": 1}",4505
engine\hydroma\economics\integration.py,Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Economy & Carbon MRV; General/Simulation,"{""Carbon & RothC"": 3, ""Plant Selection & Crop Modeling"": 5, ""Irrigation & Water Requirement"": 1, ""Hydraulic & Structure Design"": 2, ""Economy & Carbon MRV"": 12, ""General/Simulation"": 1}",9837
engine\hydroma\economics\revenue.py,Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Economy & Carbon MRV,"{""Water Resources"": 1, ""Carbon & RothC"": 5, ""Plant Selection & Crop Modeling"": 2, ""Economy & Carbon MRV"": 3}",5224
engine\hydroma\economics\risk.py,Plant Selection & Crop Modeling; Hydraulic & Structure Design; Economy & Carbon MRV; General/Simulation,"{""Plant Selection & Crop Modeling"": 7, ""Hydraulic & Structure Design"": 1, ""Economy & Carbon MRV"": 3, ""General/Simulation"": 2}",5628
engine\hydroma\economics\roi.py,Plant Selection & Crop Modeling; Economy & Carbon MRV,"{""Plant Selection & Crop Modeling"": 1, ""Economy & Carbon MRV"": 6}",6186
engine\hydroma\economics\__init__.py,Economy & Carbon MRV,"{""Economy & Carbon MRV"": 1}",56
engine\hydroma\ecotourism\models.py,General/Simulation,"{""General/Simulation"": 4}",856
engine\hydroma\erosion\models.py,Soil; Erosion (RUSLE); General/Simulation,"{""Soil"": 1, ""Erosion (RUSLE)"": 6, ""General/Simulation"": 4}",836
engine\hydroma\erosion\__init__.py,Erosion (RUSLE),"{""Erosion (RUSLE)"": 1}",55
engine\hydroma\examples\calibrate_rusle_example.py,Erosion (RUSLE); Optimization & Scenario; Monitoring & Calibration; General/Simulation,"{""Erosion (RUSLE)"": 3, ""Optimization & Scenario"": 1, ""Monitoring & Calibration"": 2, ""General/Simulation"": 5}",2601
engine\hydroma\finance\models.py,Economy & Carbon MRV; General/Simulation,"{""Economy & Carbon MRV"": 1, ""General/Simulation"": 4}",835
engine\hydroma\geospatial\models.py,Land Recognition & GIS; General/Simulation,"{""Land Recognition & GIS"": 6, ""General/Simulation"": 4}",863
engine\hydroma\geospatial\__init__.py,Land Recognition & GIS,"{""Land Recognition & GIS"": 1}",58
engine\hydroma\groundwater\models.py,Water Resources; Plant Selection & Crop Modeling; Hydraulic & Structure Design,"{""Water Resources"": 8, ""Plant Selection & Crop Modeling"": 2, ""Hydraulic & Structure Design"": 1}",3518
engine\hydroma\groundwater\service.py,Water Resources; Plant Selection & Crop Modeling; Hydraulic & Structure Design,"{""Water Resources"": 27, ""Plant Selection & Crop Modeling"": 5, ""Hydraulic & Structure Design"": 2}",11534
engine\hydroma\groundwater\__init__.py,Water Resources,"{""Water Resources"": 2}",394
engine\hydroma\hydrology\models.py,Water Resources; General/Simulation,"{""Water Resources"": 1, ""General/Simulation"": 4}",865
engine\hydroma\infrastructure\channels.py,Topography & DEM; Soil; Water Resources; Erosion (RUSLE); Hydraulic & Structure Design,"{""Topography & DEM"": 1, ""Soil"": 1, ""Water Resources"": 2, ""Erosion (RUSLE)"": 1, ""Hydraulic & Structure Design"": 1}",3512
engine\hydroma\infrastructure\draining.py,Topography & DEM; Soil; Hydraulic & Structure Design,"{""Topography & DEM"": 10, ""Soil"": 1, ""Hydraulic & Structure Design"": 7}",4981
engine\hydroma\infrastructure\earthwork.py,Topography & DEM; Hydraulic & Structure Design,"{""Topography & DEM"": 5, ""Hydraulic & Structure Design"": 1}",4474
engine\hydroma\infrastructure\innovative_structures.py,Topography & DEM; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Hydraulic & Structure Design; Economy & Carbon MRV,"{""Topography & DEM"": 1, ""Climate"": 1, ""Water Resources"": 2, ""Erosion (RUSLE)"": 4, ""Carbon & RothC"": 1, ""Plant Selection & Crop Modeling"": 2, ""Hydraulic & Structure Design"": 10, ""Economy & Carbon MRV"": 2}",8116
engine\hydroma\infrastructure\water_structures.py,Topography & DEM; Water Resources; Hydraulic & Structure Design,"{""Topography & DEM"": 1, ""Water Resources"": 5, ""Hydraulic & Structure Design"": 1}",4659
engine\hydroma\irrigation\scheduler.py,Irrigation & Water Requirement,"{""Irrigation & Water Requirement"": 3}",916
engine\hydroma\irrigation\__init__.py,Irrigation & Water Requirement,"{""Irrigation & Water Requirement"": 1}",66
engine\hydroma\materials\compost_formulator.py,Soil; Carbon & RothC,"{""Soil"": 1, ""Carbon & RothC"": 2}",1122
engine\hydroma\ml\models.py,General/Simulation,"{""General/Simulation"": 4}",788
engine\hydroma\models\base.py,General/Simulation,"{""General/Simulation"": 4}",6564
engine\hydroma\models\cache.py,Water Resources,"{""Water Resources"": 1}",10620
engine\hydroma\models\ecsi.py,Soil; Climate; Carbon & RothC; Plant Selection & Crop Modeling; General/Simulation,"{""Soil"": 1, ""Climate"": 2, ""Carbon & RothC"": 17, ""Plant Selection & Crop Modeling"": 4, ""General/Simulation"": 2}",5368
engine\hydroma\models\epia.py,Soil; Water Resources; Plant Selection & Crop Modeling; Irrigation & Water Requirement,"{""Soil"": 3, ""Water Resources"": 2, ""Plant Selection & Crop Modeling"": 2, ""Irrigation & Water Requirement"": 14}",4652
engine\hydroma\models\esri.py,Soil; Water Resources; Irrigation & Water Requirement; General/Simulation,"{""Soil"": 3, ""Water Resources"": 1, ""Irrigation & Water Requirement"": 4, ""General/Simulation"": 1}",4463
engine\hydroma\models\ewsi.py,Soil; Climate; Water Resources; Carbon & RothC; Monitoring & Calibration; General/Simulation,"{""Soil"": 14, ""Climate"": 1, ""Water Resources"": 5, ""Carbon & RothC"": 1, ""Monitoring & Calibration"": 1, ""General/Simulation"": 1}",5028
engine\hydroma\models\groundwater_model.py,Climate; Water Resources; General/Simulation,"{""Climate"": 1, ""Water Resources"": 12, ""General/Simulation"": 4}",3072
engine\hydroma\models\hdvi.py,Soil; Climate; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Monitoring & Calibration,"{""Soil"": 4, ""Climate"": 3, ""Plant Selection & Crop Modeling"": 3, ""Irrigation & Water Requirement"": 1, ""Monitoring & Calibration"": 1}",5044
engine\hydroma\models\hlhs.py,Soil; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling,"{""Soil"": 5, ""Water Resources"": 3, ""Carbon & RothC"": 5, ""Plant Selection & Crop Modeling"": 5}",5060
engine\hydroma\models\hpheno.py,Plant Selection & Crop Modeling; Monitoring & Calibration,"{""Plant Selection & Crop Modeling"": 1, ""Monitoring & Calibration"": 1}",4327
engine\hydroma\models\hyrue.py,Climate; Plant Selection & Crop Modeling; Irrigation & Water Requirement; General/Simulation,"{""Climate"": 6, ""Plant Selection & Crop Modeling"": 12, ""Irrigation & Water Requirement"": 1, ""General/Simulation"": 4}",5303
engine\hydroma\models\runoff_model.py,Land Recognition & GIS; Topography & DEM; Soil; Climate; Water Resources,"{""Land Recognition & GIS"": 13, ""Topography & DEM"": 13, ""Soil"": 18, ""Climate"": 4, ""Water Resources"": 15}",6492
engine\hydroma\models\__init__.py,Water Resources; Carbon & RothC; Irrigation & Water Requirement; General/Simulation,"{""Water Resources"": 1, ""Carbon & RothC"": 2, ""Irrigation & Water Requirement"": 1, ""General/Simulation"": 2}",972
engine\hydroma\mrv\iot_ingest.py,Land Recognition & GIS; Economy & Carbon MRV,"{""Land Recognition & GIS"": 1, ""Economy & Carbon MRV"": 3}",6043
engine\hydroma\mrv\metrics.py,Soil; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Economy & Carbon MRV; General/Simulation,"{""Soil"": 3, ""Erosion (RUSLE)"": 8, ""Carbon & RothC"": 1, ""Plant Selection & Crop Modeling"": 1, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 1}",9172
engine\hydroma\mrv\models.py,Carbon & RothC; Economy & Carbon MRV; General/Simulation,"{""Carbon & RothC"": 1, ""Economy & Carbon MRV"": 5, ""General/Simulation"": 4}",818
engine\hydroma\mrv\nojin_mrv.py,Carbon & RothC; Plant Selection & Crop Modeling; Economy & Carbon MRV,"{""Carbon & RothC"": 1, ""Plant Selection & Crop Modeling"": 2, ""Economy & Carbon MRV"": 2}",6471
engine\hydroma\mrv\qa.py,Soil; Climate; Economy & Carbon MRV; Monitoring & Calibration,"{""Soil"": 2, ""Climate"": 1, ""Economy & Carbon MRV"": 1, ""Monitoring & Calibration"": 1}",3504
engine\hydroma\mrv\satellite_cdse.py,Land Recognition & GIS; Economy & Carbon MRV; General/Simulation,"{""Land Recognition & GIS"": 4, ""Economy & Carbon MRV"": 2, ""General/Simulation"": 3}",8010
engine\hydroma\mrv\schemas.py,Soil; Climate; Plant Selection & Crop Modeling; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Soil"": 3, ""Climate"": 1, ""Plant Selection & Crop Modeling"": 1, ""Economy & Carbon MRV"": 4, ""Monitoring & Calibration"": 3, ""General/Simulation"": 1}",3439
engine\hydroma\mrv\__init__.py,Erosion (RUSLE); Carbon & RothC; Economy & Carbon MRV; Monitoring & Calibration,"{""Erosion (RUSLE)"": 1, ""Carbon & RothC"": 1, ""Economy & Carbon MRV"": 3, ""Monitoring & Calibration"": 1}",861
engine\hydroma\optimization\optimizer.py,Land Recognition & GIS; Plant Selection & Crop Modeling; Optimization & Scenario; Economy & Carbon MRV; General/Simulation,"{""Land Recognition & GIS"": 1, ""Plant Selection & Crop Modeling"": 8, ""Optimization & Scenario"": 18, ""Economy & Carbon MRV"": 5, ""General/Simulation"": 1}",9431
engine\hydroma\plants\models.py,Plant Selection & Crop Modeling; General/Simulation,"{""Plant Selection & Crop Modeling"": 1, ""General/Simulation"": 4}",824
engine\hydroma\risk\models.py,General/Simulation,"{""General/Simulation"": 4}",798
engine\hydroma\satellite\analyzer.py,Land Recognition & GIS; Topography & DEM; Soil; Water Resources; Erosion (RUSLE); Plant Selection & Crop Modeling; Irrigation & Water Requirement; Monitoring & Calibration,"{""Land Recognition & GIS"": 1, ""Topography & DEM"": 1, ""Soil"": 3, ""Water Resources"": 2, ""Erosion (RUSLE)"": 1, ""Plant Selection & Crop Modeling"": 5, ""Irrigation & Water Requirement"": 2, ""Monitoring & Calibration"": 1}",6677
engine\hydroma\scenario\__init__.py,Optimization & Scenario,"{""Optimization & Scenario"": 1}",56
engine\hydroma\scenarios\climate_scenarios.py,Climate; Carbon & RothC; Irrigation & Water Requirement; Optimization & Scenario; General/Simulation,"{""Climate"": 15, ""Carbon & RothC"": 1, ""Irrigation & Water Requirement"": 1, ""Optimization & Scenario"": 19, ""General/Simulation"": 1}",4668
engine\hydroma\scenarios\crop_scenarios.py,Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Economy & Carbon MRV; General/Simulation,"{""Climate"": 7, ""Water Resources"": 9, ""Carbon & RothC"": 3, ""Plant Selection & Crop Modeling"": 39, ""Irrigation & Water Requirement"": 6, ""Economy & Carbon MRV"": 2, ""General/Simulation"": 3}",7831
engine\hydroma\scenarios\monte_carlo.py,Climate; Water Resources; Plant Selection & Crop Modeling; Optimization & Scenario; Economy & Carbon MRV; General/Simulation,"{""Climate"": 5, ""Water Resources"": 5, ""Plant Selection & Crop Modeling"": 6, ""Optimization & Scenario"": 2, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 1}",4129
engine\hydroma\scenarios\scenario_manager.py,Climate; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Optimization & Scenario; General/Simulation,"{""Climate"": 3, ""Plant Selection & Crop Modeling"": 4, ""Irrigation & Water Requirement"": 3, ""Optimization & Scenario"": 22, ""General/Simulation"": 4}",8793
engine\hydroma\scenarios\whatif_engine.py,Soil; Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Optimization & Scenario,"{""Soil"": 1, ""Climate"": 4, ""Water Resources"": 2, ""Carbon & RothC"": 1, ""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1, ""Optimization & Scenario"": 17}",3737
engine\hydroma\scenarios\__init__.py,Climate; Optimization & Scenario; General/Simulation,"{""Climate"": 1, ""Optimization & Scenario"": 1, ""General/Simulation"": 1}",61
engine\hydroma\simulation\calibration.py,General/Simulation,"{""General/Simulation"": 3}",3879
